Id,Label,Type
#Rossi,Pietro Rossi,person
#Rossi,Pietro Rossi,person
#Vincenzo1,Vincenzo Florio,person
#Rossi,Pietro Rossi,person
#Vincenzo1,Vincenzo Florio,person
#Filangeri,Carlo Filangeri principe di Satriano,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#Giuseppina,Giuseppina,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio1,Ignazio Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#palermitani,i palermitani,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Angelina,Angelina,person
#Giuseppina,Giuseppina,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Rossi,Pietro Rossi,person
#Cassisi,Vincenzo Cassisi,person
#Filangeri,Carlo Filangeri principe di Satriano,person
#Rossi,Pietro Rossi,person
#Vincenzo1,Vincenzo Florio,person
#Cassisi,Vincenzo Cassisi,person
#Filangeri,Carlo Filangeri principe di Satriano,person
#Cassisi,Vincenzo Cassisi,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#Cassisi,Vincenzo Cassisi,person
#Filangeri,Carlo Filangeri principe di Satriano,person
#Vincenzo1,Vincenzo Florio,person
#Cassisi,Vincenzo Cassisi,person
#Cassisi,Vincenzo Cassisi,person
#Vincenzo1,Vincenzo Florio,person
#Cassisi,Vincenzo Cassisi,person
#Cassisi,Vincenzo Cassisi,person
#Vincenzo1,Vincenzo Florio,person
#Rossi,Pietro Rossi,person
#Vincenzo1,Vincenzo Florio,person
#Borbone,I Borbone,person
#FerdinandoII,Ferdinando II,person
#Cassisi,Vincenzo Cassisi,person
#Filangeri,Carlo Filangeri principe di Satriano,person
#Cassisi,Vincenzo Cassisi,person
#Vincenzo1,Vincenzo Florio,person
#Cassisi,Vincenzo Cassisi,person
#Cassisi,Vincenzo Cassisi,person
#Vincenzo1,Vincenzo Florio,person
#Rossi,Pietro Rossi,person
#DePace,Luigi De Pace,person
#Angelina,Angelina,person
#Giuseppina,Giuseppina,person
#Giulia,Giulia Portalupi,person
#Angelina,Angelina,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#madreLuigi,madre di Luigi De Pace,person
#Giulia,Giulia Portalupi,person
#madreLuigi,madre di Luigi De Pace,person
#DePace,Luigi De Pace,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Angelina,Angelina,person
#DePace,Luigi De Pace,person
#Angelina,Angelina,person
#Giulia,Giulia Portalupi,person
#Angelina,Angelina,person
#Giulia,Giulia Portalupi,person
#Giulia,Giulia Portalupi,person
#Angelina,Angelina,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Giuseppina,Giuseppina,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Angelina,Angelina,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Giuseppina,Giuseppina,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#Angelina,Angelina,person
#DePace,Luigi De Pace,person
#Angelina,Angelina,person
#Giulia,Giulia Portalupi,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#DePace,Luigi De Pace,person
#Angelina,Angelina,person
#Angelina,Angelina,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Carlo,Carlo Giachery,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Carlo,Carlo Giachery,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Carlo,Carlo Giachery,person
#Giulia,Giulia Portalupi,person
#Angelina,Angelina,person
#DePace,Luigi De Pace,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Giuseppina,Giuseppina,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giuseppina,Giuseppina,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giuseppina,Giuseppina,person
#Giuseppina,Giuseppina,person
#Giuseppina,Giuseppina,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Paolo,Paolo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Giuseppina,Giuseppina,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Augusto,Augusto Merle,person
#Bordonaro,Gabriele Chiaramonte Bordonaro,person
#Ben,Benjamin Ingham,person
#Whitaker,Joseph Whitaker,person
#SalvatoreDePace,Salvatore De Pace,person
#Vincenzo1,Vincenzo Florio,person
#pTrabia,Giuseppe Lanza di Trabia,person
#Vincenzo1,Vincenzo Florio,person
#Angelina,Angelina,person
#DePace,Luigi De Pace,person
#pTrabia,Giuseppe Lanza di Trabia,person
#Vincenzo1,Vincenzo Florio,person
#pTrabia,Giuseppe Lanza di Trabia,person
#napoletani,i napoletani,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#pTrabia,Giuseppe Lanza di Trabia,person
#FerdinandoII,Ferdinando II,person
#Vincenzo1,Vincenzo Florio,person
#pTrabia,Giuseppe Lanza di Trabia,person
#Vincenzo1,Vincenzo Florio,person
#pTrabia,Giuseppe Lanza di Trabia,person
#Vincenzo1,Vincenzo Florio,person
#pTrabia,Giuseppe Lanza di Trabia,person
#Vincenzo1,Vincenzo Florio,person
#Borbone,I Borbone,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#Giuseppina,Giuseppina,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giuseppina,Giuseppina,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Borbone,I Borbone,person
#Borbone,I Borbone,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Camarrone,Sebastiano Camarrone,person
#Giulia,Giulia Portalupi,person
#Camarrone,Sebastiano Camarrone,person
#Borbone,I Borbone,person
#Camarrone,Sebastiano Camarrone,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Savoia,i Savoia,person
#Borbone,I Borbone,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Giulia,Giulia Portalupi,person
#Giulia,Giulia Portalupi,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Giulia,Giulia Portalupi,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Giulia,Giulia Portalupi,person
#Giulia,Giulia Portalupi,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Giuseppina,Giuseppina,person
#Merle,Francesco Merle,person
#Angelina,Angelina,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#Ignazio1,Ignazio Florio,person
#Giulia,Giulia Portalupi,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Giulia,Giulia Portalupi,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Garibaldi,Giuseppe Garibaldi,person
#VEmanuele,Vittorio Emanuele II,person
#Pilo,Rosolino Pilo,person
#Garibaldi,Giuseppe Garibaldi,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Garibaldi,Giuseppe Garibaldi,person
#garibaldini,i garibaldini,person
#palermitani,i palermitani,person
#Borbone,I Borbone,person
#garibaldini,i garibaldini,person
#Garibaldi,Giuseppe Garibaldi,person
#Borbone,I Borbone,person
#Crispi,Francecso Crispi,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Garibaldi,Giuseppe Garibaldi,person
#garibaldini,i garibaldini,person
#Borbone,I Borbone,person
#Crispi,Francecso Crispi,person
#Vincenzo1,Vincenzo Florio,person
#Crispi,Francecso Crispi,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Crispi,Francecso Crispi,person
#Vincenzo1,Vincenzo Florio,person
#Savoia,i Savoia,person
#Vincenzo1,Vincenzo Florio,person
#Borbone,I Borbone,person
#Savoia,i Savoia,person
#Crispi,Francecso Crispi,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Crispi,Francecso Crispi,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Crispi,Francecso Crispi,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Crispi,Francecso Crispi,person
#Borbone,I Borbone,person
#Savoia,i Savoia,person
#Crispi,Francecso Crispi,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#duchessaAle,duchessa Alessandra Spadafora,person
#Vincenzo1,Vincenzo Florio,person
#duchessaAle,duchessa Alessandra Spadafora,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#duchessaAle,duchessa Alessandra Spadafora,person
#Ben,Benjamin Ingham,person
#Whitaker,Joseph Whitaker,person
#moglieWhitaker,Sophia,person
#Willie,Willie Whitaker,person
#Bordonaro,Gabriele Chiaramonte Bordonaro,person
#duchessaAle,duchessa Alessandra Spadafora,person
#Vincenzo1,Vincenzo Florio,person
#duchessaAle,duchessa Alessandra Spadafora,person
#Ben,Benjamin Ingham,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Savoia,i Savoia,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#Angelina,Angelina,person
#Giuseppina,Giuseppina,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Borbone,I Borbone,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Borbone,I Borbone,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Garibaldi,Giuseppe Garibaldi,person
#Savoia,i Savoia,person
#Borbone,I Borbone,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Giulia,Giulia Portalupi,person
#Giulia,Giulia Portalupi,person
#Giulia,Giulia Portalupi,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#GP,Giovanni Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Crispi,Francecso Crispi,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#Paolo,Paolo Florio,person
#Giulia,Giulia Portalupi,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#Paolo,Paolo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#Giulia,Giulia Portalupi,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Trigona,i Trigona,person
#Giovanna,Giovanna d'Ondes,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giovanna,Giovanna d'Ondes,person
#Giulia,Giulia Portalupi,person
#Giulia,Giulia Portalupi,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#Giulia,Giulia Portalupi,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giovanna,Giovanna d'Ondes,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#Giovanna,Giovanna d'Ondes,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#Giovanna,Giovanna d'Ondes,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giovanna,Giovanna d'Ondes,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giulia,Giulia Portalupi,person
#Giovanna,Giovanna d'Ondes,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Giovanna,Giovanna d'Ondes,person
#Giulia,Giulia Portalupi,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Giovanna,Giovanna d'Ondes,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Giulia,Giulia Portalupi,person
#Antonia,Antonia Portalupi,person
#TP,Tommaso Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Ignazio1,Ignazio Florio,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Ignazio2,Ignazio Florio (figlio di Vincenzo),person
#Vincenzo1,Vincenzo Florio,person
#Giulia,Giulia Portalupi,person
#Giulia,Giulia Portalupi,person
#Vincenzo1,Vincenzo Florio,person
